           TIME                          IP                   METHOD                PATH


Fri, 04 Jul 2025 12:35:36 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/login 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/css/login.css 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/js/login.js 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/animations/animation.json 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	POST : 	/logCred 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/ 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/css/dashboard.css 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/img4.jpg 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/img2.jpg 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/img3.png 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/img1.jpg 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/js/dashboard.js 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/fonts/AverBold-4YlW.ttf 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:37:32 GMT : 	::1 :	GET : 	/Status 
Fri, 04 Jul 2025 12:37:32 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:37:32 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:37:32 GMT : 	::1 :	GET : 	/js/about.js 
Fri, 04 Jul 2025 12:37:32 GMT : 	::1 :	GET : 	/css/status.css 
Fri, 04 Jul 2025 12:37:32 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:37:32 GMT : 	::1 :	GET : 	/fonts/AverBold-4YlW.ttf 
Fri, 04 Jul 2025 12:37:32 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:37:32 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:37:36 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:38:04 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:38:06 GMT : 	::1 :	GET : 	/login 
Fri, 04 Jul 2025 12:38:06 GMT : 	::1 :	GET : 	/css/login.css 
Fri, 04 Jul 2025 12:38:06 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:38:06 GMT : 	::1 :	GET : 	/js/login.js 
Fri, 04 Jul 2025 12:38:06 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:38:06 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:38:06 GMT : 	::1 :	GET : 	/animations/animation.json 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	POST : 	/logCred 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/ 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/css/dashboard.css 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/images/img1.jpg 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/images/img2.jpg 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/images/img3.png 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/js/dashboard.js 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/images/img4.jpg 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/fonts/AverBold-4YlW.ttf 
Fri, 04 Jul 2025 12:38:15 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:38:18 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:38:38 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:38:40 GMT : 	::1 :	GET : 	/login 
Fri, 04 Jul 2025 12:38:40 GMT : 	::1 :	GET : 	/css/login.css 
Fri, 04 Jul 2025 12:38:40 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:38:40 GMT : 	::1 :	GET : 	/js/login.js 
Fri, 04 Jul 2025 12:38:40 GMT : 	::1 :	GET : 	/animations/animation.json 
Fri, 04 Jul 2025 12:38:40 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:38:40 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:38:48 GMT : 	::1 :	POST : 	/logCred 
Fri, 04 Jul 2025 12:38:48 GMT : 	::1 :	GET : 	/ 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/css/dashboard.css 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/images/img3.png 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/images/img1.jpg 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/images/img2.jpg 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/js/dashboard.js 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/images/img4.jpg 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/fonts/AverBold-4YlW.ttf 
Fri, 04 Jul 2025 12:38:49 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:38:51 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:38:51 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:38:51 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:38:51 GMT : 	::1 :	GET : 	/js/bill.js 
Fri, 04 Jul 2025 12:38:51 GMT : 	::1 :	GET : 	/images/meter.gif 
Fri, 04 Jul 2025 12:38:51 GMT : 	::1 :	GET : 	/css/bill.css 
Fri, 04 Jul 2025 12:38:51 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:38:51 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:38:51 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:40:43 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:40:45 GMT : 	::1 :	GET : 	/login 
Fri, 04 Jul 2025 12:40:45 GMT : 	::1 :	GET : 	/css/login.css 
Fri, 04 Jul 2025 12:40:45 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:40:45 GMT : 	::1 :	GET : 	/js/login.js 
Fri, 04 Jul 2025 12:40:45 GMT : 	::1 :	GET : 	/animations/animation.json 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	POST : 	/logCred 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	GET : 	/ 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	GET : 	/css/dashboard.css 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	GET : 	/js/dashboard.js 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	GET : 	/images/img1.jpg 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	GET : 	/images/img3.png 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	GET : 	/images/img2.jpg 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	GET : 	/images/img4.jpg 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	GET : 	/fonts/AverBold-4YlW.ttf 
Fri, 04 Jul 2025 12:40:53 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:40:56 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:40:56 GMT : 	::1 :	GET : 	/css/bill.css 
Fri, 04 Jul 2025 12:40:56 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:40:56 GMT : 	::1 :	GET : 	/images/meter.gif 
Fri, 04 Jul 2025 12:40:56 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:40:56 GMT : 	::1 :	GET : 	/js/bill.js 
Fri, 04 Jul 2025 12:40:56 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:41:03 GMT : 	::1 :	GET : 	/css/bill.css 
Fri, 04 Jul 2025 12:41:03 GMT : 	::1 :	GET : 	/.well-known/appspecific/com.chrome.devtools.json 
Fri, 04 Jul 2025 12:41:03 GMT : 	::1 :	GET : 	/css/bill.css.map 
Fri, 04 Jul 2025 12:41:08 GMT : 	::1 :	POST : 	/api/bill 
Fri, 04 Jul 2025 12:41:09 GMT : 	::1 :	POST : 	/api/bill 
Fri, 04 Jul 2025 12:41:10 GMT : 	::1 :	POST : 	/api/bill 
Fri, 04 Jul 2025 12:41:10 GMT : 	::1 :	POST : 	/api/bill 
Fri, 04 Jul 2025 12:41:10 GMT : 	::1 :	POST : 	/api/bill 
Fri, 04 Jul 2025 12:41:10 GMT : 	::1 :	POST : 	/api/bill 
Fri, 04 Jul 2025 12:41:10 GMT : 	::1 :	POST : 	/api/bill 
Fri, 04 Jul 2025 12:41:11 GMT : 	::1 :	POST : 	/api/bill 
Fri, 04 Jul 2025 12:41:17 GMT : 	::1 :	GET : 	/.well-known/appspecific/com.chrome.devtools.json 
Fri, 04 Jul 2025 12:41:17 GMT : 	::1 :	GET : 	/css/bill.css.map 
Fri, 04 Jul 2025 12:42:29 GMT : 	::1 :	POST : 	/api/bill 
Fri, 04 Jul 2025 12:42:31 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:42:31 GMT : 	::1 :	GET : 	/.well-known/appspecific/com.chrome.devtools.json 
Fri, 04 Jul 2025 12:42:32 GMT : 	::1 :	GET : 	/login 
Fri, 04 Jul 2025 12:42:32 GMT : 	::1 :	GET : 	/.well-known/appspecific/com.chrome.devtools.json 
Fri, 04 Jul 2025 12:42:32 GMT : 	::1 :	GET : 	/css/login.css 
Fri, 04 Jul 2025 12:42:32 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:42:32 GMT : 	::1 :	GET : 	/js/login.js 
Fri, 04 Jul 2025 12:42:32 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:42:32 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:42:32 GMT : 	::1 :	GET : 	/css/login.css.map 
